Descripción,Conductividad del material (%),Factor r a 20°C,Ko (1/o) a 0°C,Tm (°C),r a 20°C (µ/cm),Factor TCAP valor efectivo [J/(cm3.°C)]
Cobre blando estirado,100,0.00393,234,1083,1.72,3.42
Cobre endurecido ,97,0.00381,242,1084,1.78,3.42
Conductor de acero revestido de cobre,40,0.00378,245,1084,4.4,3.85
Conductor de acero revestido de cobre,30,0.00378,245,1084,5.86,3.85
Varilla de acero revestida de cobre,20,0.00378,245,1084,8.62,3.85
Aluminio grado EC,61,0.00403,228,657,2.86,2.56
Aleación de Aluminio 5005,53.5,0.00353,263,652,3.22,2.6
Aleación de Aluminio 6201,52.5,0.00347,268,654,3.28,2.6
Conductor de acero revestido de aluminio,20.3,0.0036,258,657,8.48,3.58
Acero 1020,10.8,0.0016,605,1510,15.9,3.28
Varilla de acero revestido de acero inoxidable,9.8,0.0016,605,1400,17.5,4.44
Varilla de acero galvanizado,8.5,0.0032,293,419,20.1,3.93
Acero inoxidable 304,2.4,0.0013,749,1400,72,4.03
